"ಇಂದು ವಿಧಾನಸಭೆಯಲ್ಲಿ ಆರ್ಥಿಕ ಬಜೆಟ್ ಮಂಡಿಸಲಾಯಿತು; ಹಲವು ಹೊಸ ಯೋಜನೆಗಳನ್ನು ಘೋಷಿಸಲಾಯಿತು.",1
"ಬೆಂಗಳೂರು ನಗರದಲ್ಲಿ ಮಳೆಗಾಗಿ ಹವಾಮಾನ ಇಲಾಖೆ ಎಚ್ಚರಿಕೆ ನೀಡಿದೆ.",1
"ಕನ್ನಡ ಸಿನಿಮಾ ಅಂತರಾಷ್ಟ್ರೀಯೋತ್ಸವದಲ್ಲಿ ಪ್ರಶಸ್ತಿ ಗೆದ್ದಿದೆ.",1
"ರಾಜ್ಯ ಸರ್ಕಾರ ಆರೋಗ್ಯ ಯೋಜನೆಗೆ ಹೊಸ ನಿಧಿ ಬಿಡುಗಡೆ ಮಾಡಿದೆ.",1
"ವಿಶ್ವಕಪ್ ಕ್ರಿಕೆಟ್ ಪಂದ್ಯದಲ್ಲಿ ಭಾರತ ಗೆದ್ದಿದೆ.",1
"ವಿಜ್ಞಾನಿಗಳ ಹೊಸ ಸಂಶೋಧನೆ ವೈದ್ಯಕೀಯ ಕ್ಷೇತ್ರದಲ್ಲಿ ಮಹತ್ವದ್ದಾಗಿದೆ.",1
"ಮಹಿಳಾ ಸುರಕ್ಷತೆಗಾಗಿ ಹೊಸ ಹೆಲ್ಪ್‌ಲೈನ್ ಪ್ರಾರಂಭಿಸಲಾಗಿದೆ.",1
"ಶಿಕ್ಷಣ ಇಲಾಖೆಯ ಹೊಸ ಪಠ್ಯಕ್ರಮ ಮುಂದಿನ ವರ್ಷದಿಂದ ಅನ್ವಯವಾಗಲಿದೆ.",1
"ಮೆಟ್ರೋ ಸೇವೆಗಳಿಗೆ ಹೆಚ್ಚುವರಿ ಬೋಗಿಗಳು ಸೇರಿಸಲಾಯಿತು.",1
"ಐಟಿ ಕಂಪನಿಗಳು ನಗರದಲ್ಲಿ ಸಾವಿರಾರು ಉದ್ಯೋಗಗಳನ್ನು ಸೃಷ್ಟಿಸುತ್ತಿವೆ.",1
"ಪೊಲೀಸರು ನಗರದಲ್ಲಿ ಭದ್ರತಾ ಕ್ರಮಗಳನ್ನು ಕಠಿಣಗೊಳಿಸಿದ್ದಾರೆ.",1
"ಕೃಷಿ ಕ್ಷೇತ್ರಕ್ಕೆ ನೆರವಾಗುವ ಯೋಜನೆಗಳನ್ನು ಸರ್ಕಾರ ಘೋಷಿಸಿದೆ.",1
"ಪರಿಸರ ಸಂರಕ್ಷಣೆಗೆ ಮರ ನೆಡುವ ಅಭಿಯಾನ ಆರಂಭವಾಗಿದೆ.",1
"ರಸ್ತೆ ಮೂಲಸೌಕರ್ಯ ಸುಧಾರಣೆಗೆ ಹೊಸ ಯೋಜನೆಗಳ ಅನುಮೋದನೆ.",1
"ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ವಿದ್ಯಾರ್ಥಿವೇತನ ಅರ್ಜಿ ಪ್ರಕ್ರಿಯೆ ಪ್ರಾರಂಭವಾಗಿದೆ.",1
"ಸಾಂಸ್ಕೃತಿಕ ಉತ್ಸವದಲ್ಲಿ ನೂರಾರು ಕಲಾವಿದರು ಭಾಗವಹಿಸಿದರು.",1
"ಪೋಸ್ಟ್ ಆಫೀಸ್ ಹೊಸ ಡಿಜಿಟಲ್ ಸೇವೆಗಳನ್ನು ಪರಿಚಯಿಸಿದೆ.",1
"ರೈಲ್ವೆ ಸಂಪರ್ಕ ವಿಸ್ತರಣೆಗೆ ಕೇಂದ್ರ ಮಂತ್ರಾಲಯದ ಅನುಮೋದನೆ.",1
"ಕನ್ನಡ ಪುಸ್ತಕ ಮೇಳಕ್ಕೆ ಉತ್ತಮ ಪ್ರತಿಕ್ರಿಯೆ ಲಭಿಸಿದೆ.",1
"ನಗರದ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಅತ್ಯಾಧುನಿಕ ಸೌಲಭ್ಯಗಳ ಉದ್ಘಾಟನೆ.",1